iter	RMSE
0	14.18434768
1	13.45024065
2	12.71399679
3	11.97949573
4	11.34706548
5	10.76231039
6	10.27902021
7	9.75903749
8	9.371811024
9	8.939995863
10	8.565935429
11	8.25046068
12	7.956695304
13	7.701883885
14	7.454315862
15	7.262174867
16	7.128582643
17	6.942759777
18	6.807539771
19	6.663930594
20	6.556732075
21	6.468053051
22	6.368578402
23	6.282024123
24	6.204276463
25	6.141125696
26	6.08084989
27	6.016211564
28	5.957235873
29	5.903109476
30	5.855305011
31	5.810381897
32	5.77121204
33	5.746942029
34	5.716071622
35	5.687961427
36	5.664389745
37	5.643328459
38	5.626760903
39	5.610172095
40	5.594232671
41	5.575453181
42	5.56175378
43	5.546808559
44	5.536424551
45	5.524145947
46	5.511926109
47	5.499199526
48	5.489244931
49	5.479919479
50	5.46948361
51	5.459945834
52	5.452440238
53	5.442766129
54	5.434942048
55	5.429490237
56	5.422303407
57	5.41671652
58	5.413510284
59	5.409309202
60	5.404059352
61	5.400219061
62	5.396505838
63	5.392782891
64	5.383515798
65	5.376784236
66	5.37392372
67	5.368205319
68	5.361339808
69	5.358020595
70	5.348763811
71	5.344201686
72	5.341816486
73	5.338944408
74	5.328617385
75	5.324978547
76	5.321167717
77	5.317083715
78	5.314453332
79	5.308751422
80	5.30452748
81	5.301270588
82	5.295950245
83	5.292392655
84	5.285606218
85	5.275389868
86	5.273066215
87	5.270401146
88	5.267669905
89	5.256322365
90	5.251704025
91	5.242867856
92	5.241446384
93	5.241029044
94	5.237351521
95	5.234608509
96	5.231499223
97	5.22622063
98	5.223440126
99	5.221823474
