iter	Passed	Remaining
0	143	14210
1	146	7195
2	152	4914
3	155	3734
4	160	3044
5	163	2559
6	167	2220
7	171	1966
8	174	1766
9	178	1607
10	182	1477
11	186	1370
12	191	1279
13	195	1203
14	199	1129
15	203	1067
16	207	1015
17	211	965
18	215	917
19	219	877
20	222	838
21	227	807
22	230	772
23	232	736
24	235	707
25	237	676
26	239	647
27	241	622
28	243	595
29	244	570
30	245	546
31	247	525
32	248	504
33	249	485
34	250	465
35	252	448
36	253	431
37	254	414
38	255	399
39	256	384
40	257	369
41	258	356
42	258	343
43	259	330
44	260	318
45	261	307
46	262	296
47	263	285
48	264	275
49	265	265
50	265	255
51	266	246
52	267	237
53	268	228
54	268	220
55	269	211
56	270	204
57	271	196
58	271	188
59	272	181
60	273	174
61	274	167
62	274	161
63	275	154
64	276	148
65	276	142
66	277	136
67	277	130
68	278	125
69	279	119
70	280	114
71	280	109
72	281	104
73	281	99
74	282	94
75	283	89
76	284	84
77	285	80
78	285	75
79	286	71
80	287	67
81	287	63
82	288	59
83	289	55
84	289	51
85	290	47
86	290	43
87	291	39
88	292	36
89	292	32
90	293	29
91	294	25
92	294	22
93	295	18
94	296	15
95	297	12
96	297	9
97	300	6
98	303	3
99	306	0
